#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,ack,"grep alternative"
,vim,"VIM is Love, VIM is Life"
,feh,"wallpaper printer and image viewer"
,picom,"compositor, formerly compton"
,xorg,"X11"
,linux-firmware-intel,"firmware for intel chips"
,intel-video-accel,"intel video accelleration driver"
,dmenu,"dropdown menu"
,ranger,"ncurses file browser"
,unclutter,"make mouse diappear when not used"
,xcompmgr,"for transparency"
,qutebrowser,"teh interwebs"
,dunst,"notifications"
,youtube-dl,"download youtube videos"
,htop,"performance monitor"
,libX11-devel,"development libraries for X11"
,libXft-devel,"library for configuring and customizing font access development files"
,libXinerama-devel,"X PanoramiX extentions library development files"
,harfbuzz-devel,"OpenType text shaping engine used by st"
,pulseaudio,"teh audio"
,mpd,"music player daemon"
,ncmpcpp,"music player"
,mpc,"music control"
,alsa-utils,"audio driver"
,apulse,"audio driver"
,ueberzug,"image previews used by ranger"
,python3-pip,"PyPA recommended tool for installing PyPI package"
,pywal,"Generate and change colorschemes on the fly"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is Luke's custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
